Column1,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Age
FDA15,9.3,Low Fat,0.02,Dairy,249.81,OUT049,1999,Medium,Tier 1,Supermarket Type1,3735.14,26
DRC01,5.92,Regular,0.02,Soft Drinks,48.27,OUT018,2009,Medium,Tier 3,Supermarket Type2,443.42,16
FDN15,17.5,Low Fat,0.02,Meat,141.62,OUT049,1999,Medium,Tier 1,Supermarket Type1,2097.27,26
FDX07,19.2,Regular,0.0,Fruits and Vegetables,182.1,OUT010,1998,Medium,Tier 3,Grocery Store,732.38,27
NCD19,8.93,Low Fat,0.0,Household,53.86,OUT013,1987,High,Tier 3,Supermarket Type1,994.71,38
FDP36,10.395,Regular,0.0,Baking Goods,51.4,OUT018,2009,Medium,Tier 3,Supermarket Type2,556.61,16
FDO10,13.65,Regular,0.01,Snack Foods,57.66,OUT013,1987,High,Tier 3,Supermarket Type1,343.55,38
FDP10,12.857645184135976,Low Fat,0.13,Snack Foods,107.76,OUT027,1985,Medium,Tier 3,Supermarket Type3,4022.76,40
FDH17,16.2,Regular,0.02,Frozen Foods,96.97,OUT045,2002,Medium,Tier 2,Supermarket Type1,1076.6,23
FDU28,19.2,Regular,0.09,Frozen Foods,187.82,OUT017,2007,Medium,Tier 2,Supermarket Type1,4710.54,18
FDY07,11.8,Low Fat,0.0,Fruits and Vegetables,45.54,OUT049,1999,Medium,Tier 1,Supermarket Type1,1516.03,26
FDA03,18.5,Regular,0.05,Dairy,144.11,OUT046,1997,Small,Tier 1,Supermarket Type1,2187.15,28
FDX32,15.1,Regular,0.1,Fruits and Vegetables,145.48,OUT049,1999,Medium,Tier 1,Supermarket Type1,1589.26,26
FDS46,17.6,Regular,0.05,Snack Foods,119.68,OUT046,1997,Small,Tier 1,Supermarket Type1,2145.21,28
FDF32,16.35,Low Fat,0.07,Fruits and Vegetables,196.44,OUT013,1987,High,Tier 3,Supermarket Type1,1977.43,38
FDP49,9.0,Regular,0.07,Breakfast,56.36,OUT046,1997,Small,Tier 1,Supermarket Type1,1547.32,28
NCB42,11.8,Low Fat,0.01,Health and Hygiene,115.35,OUT018,2009,Medium,Tier 3,Supermarket Type2,1621.89,16
FDP49,9.0,Regular,0.07,Breakfast,54.36,OUT049,1999,Medium,Tier 1,Supermarket Type1,718.4,26
DRI11,12.857645184135976,Low Fat,0.03,Hard Drinks,113.28,OUT027,1985,Medium,Tier 3,Supermarket Type3,2303.67,40
FDU02,13.35,Low Fat,0.1,Dairy,230.54,OUT035,2004,Small,Tier 2,Supermarket Type1,2748.42,21
FDN22,18.85,Regular,0.14,Snack Foods,250.87,OUT013,1987,High,Tier 3,Supermarket Type1,3775.09,38
FDW12,12.857645184135976,Regular,0.04,Baking Goods,144.54,OUT027,1985,Medium,Tier 3,Supermarket Type3,4064.04,40
NCB30,14.6,Low Fat,0.03,Household,196.51,OUT035,2004,Small,Tier 2,Supermarket Type1,1587.27,21
FDC37,12.857645184135976,Low Fat,0.06,Baking Goods,107.69,OUT019,1985,Small,Tier 1,Grocery Store,214.39,40
FDR28,13.85,Regular,0.03,Frozen Foods,165.02,OUT046,1997,Small,Tier 1,Supermarket Type1,4078.02,28
NCD06,13.0,Low Fat,0.1,Household,45.91,OUT017,2007,Medium,Tier 2,Supermarket Type1,838.91,18
